,year,duration,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,month,production_number,lead_number,support_number,director_number,writer_number
9843,2017,100,3.3,135,0,3.3,135,3.8,2.0,02,3644,6257,914,1731,2554
9844,2018,82,2.5,183,0,2.5,183,4.0,3.0,12,5005,2025,1832,3077,2136
9845,2016,85,4.8,785,100000,4.8,785,6.2,8.0,06,1835,3884,3185,2193,6282
9846,2015,82,4.3,4512,0,4.3,4512,6.1,10.0,04,3992,2600,1194,5630,5893
9847,2017,82,2.9,252,0,2.9,252,3.9,3.0,03,2214,2326,4985,5246,5149
9848,2016,85,4.4,352,0,4.4,352,5.0,5.0,04,4334,6335,1818,6985,6266
9849,2017,96,4.0,244,300,4.0,244,6.4,8.0,10,811,6638,5458,819,1099
9850,2017,90,5.2,109,2500,5.2,109,7.0,8.0,0,811,1829,4911,819,1099
9851,2015,86,4.4,117,0,4.4,117,4.5,5.0,05,4584,5172,1401,4780,4432
9852,2017,90,4.3,494,1200000,4.3,494,5.7,5.0,0,1800,4814,6658,4013,5287
9853,2014,144,7.1,207,0,7.1,207,7.2,8.0,06,6260,5565,4441,3685,1932
9854,2015,76,4.7,103,0,4.7,103,5.7,5.0,10,3465,4175,6267,6386,2403
9855,2019,80,3.5,3292,0,3.5,3292,5.0,3.0,08,2846,396,1257,3894,4333
9856,2019,90,4.8,688,0,4.8,688,6.4,8.0,03,6049,5939,1257,2084,3657
9857,2014,80,5.2,145,3000000,5.2,145,5.9,6.0,06,352,2287,3193,2379,3227
9858,2017,88,3.9,175,0,3.9,175,4.7,4.0,06,1125,3178,7008,5039,3524
9859,2016,113,3.6,131,0,3.6,131,5.1,4.0,01,5516,5729,2761,6638,6379
9860,2015,80,5.5,7564,500000,5.5,7564,6.8,7.0,02,4859,4588,5778,5796,5830
9861,2016,101,4.3,252,0,4.3,252,4.7,5.0,10,3876,1955,2369,3188,5844
9862,2014,90,2.3,204,0,2.3,204,2.8,2.0,10,2057,4860,6494,2900,6055
9863,2017,85,4.7,787,0,4.7,787,4.8,5.0,10,4923,2069,4353,3180,4071
9864,2015,98,5.3,288,0,5.3,288,5.2,5.0,02,1959,5563,1558,5944,6620
9865,2017,84,4.2,118,0,4.2,118,5.1,5.0,04,3772,4613,695,5615,4901
9866,2019,110,5.7,377,0,5.7,377,6.2,6.0,10,2654,1614,6779,4440,5325
9867,2016,94,5.9,753,1250000,5.9,753,6.5,6.0,09,1966,997,4602,6185,2301
9868,2016,96,5.8,469,0,5.8,469,6.4,6.0,0,1918,6659,7534,6607,3499
9869,2016,102,5.7,552,0,5.7,552,6.2,6.0,02,5141,6544,7765,5838,6090
9870,2016,87,5.9,743,0,5.9,743,7.2,7.0,04,2521,3164,6474,2940,1743
9871,2017,93,5.3,255,0,5.3,255,6.3,7.0,12,662,2791,3214,3094,5240
9872,2015,88,6.2,117,0,6.2,117,6.9,7.0,02,3897,5821,3406,4820,3476
9873,2015,102,5.6,9049,2480421,5.6,9049,6.3,6.0,01,469,840,896,5097,660
9874,2017,86,6.4,3087,0,6.4,3087,8.0,9.0,11,469,840,896,2170,660
9875,2015,91,5.2,322,0,5.2,322,5.6,6.0,03,3192,3944,4813,1869,3342
9876,2015,77,2.6,230,0,2.6,230,3.0,2.0,11,4082,2551,5800,6968,6271
9877,2016,86,5.8,2471,0,5.8,2471,5.9,6.0,09,2227,636,5681,3388,5207
9878,2016,89,5.2,387,0,5.2,387,7.0,8.0,09,4920,1615,3426,2955,2132
9879,2016,94,4.6,210,0,4.6,210,4.9,5.0,05,2280,2602,3332,3290,2352
9880,2018,90,3.6,290,0,3.6,290,4.5,4.0,03,2171,4957,3293,6089,2094
9881,2015,80,6.0,1350,0,6.0,1350,6.2,6.0,02,4140,2493,3007,7074,3879
9882,2015,89,6.5,5391,0,6.5,5391,6.7,7.0,05,6046,4018,4113,5971,6683
9883,2017,106,7.3,660,0,7.3,660,8.4,9.0,03,2027,2174,5118,5552,2125
9884,2014,130,6.1,150,800000,6.1,150,7.0,8.0,09,6086,2811,4287,5309,1715
9885,2015,87,4.8,106,250000,4.8,106,5.2,5.0,09,3549,2967,6824,6698,6364
9886,2017,100,5.9,420,0,5.9,420,5.9,6.0,01,2940,6119,4133,3984,6969
9887,2015,81,4.2,312,0,4.2,312,4.6,4.0,10,1779,1996,6566,5917,5861
9888,2014,105,4.9,442,10000,4.9,442,6.3,7.0,09,1289,2450,3820,1335,969
9889,2017,89,4.1,752,0,4.1,752,4.7,4.0,09,1289,1939,4940,1335,969
9890,2019,90,5.4,161,0,5.4,161,6.4,7.0,07,5099,6038,6163,3342,7236
9891,2016,100,5.6,114,0,5.6,114,6.8,8.0,04,1865,4274,2724,3658,4276
